Time (sec);Toe;MTP;Heel;Ankle;knee;Hip
2,035;-0,277879138;-0,199541819;-0,032160103;-0,073444412;-0,179474557;-0,143394097
2,052;-0,277546363;-0,199540265;-0,031777111;-0,072838634;-0,168799985;-0,143529321
2,068;-0,276983878;-0,199534979;-0,031340703;-0,071797202;-0,159070724;-0,1435557
2,085;-0,276349373;-0,199524743;-0,0309473;-0,070590515;-0,15071712;-0,143457273
2,102;-0,275904539;-0,199508714;-0,030656312;-0,069560993;-0,143973804;-0,143149259
2,118;-0,27575944;-0,199486357;-0,030475026;-0,06894018;-0,138793632;-0,142543621
2,135;-0,275821678;-0,199457729;-0,030379575;-0,068711654;-0,134930108;-0,14163949
2,152;-0,275954546;-0,199423972;-0,030338308;-0,068674163;-0,132237894;-0,14053639
2,169;-0,276079857;-0,199387129;-0,030323774;-0,068655832;-0,130696789;-0,139373197
2,185;-0,276176805;-0,199349152;-0,030316784;-0,068599884;-0,130159595;-0,138289547
2,202;-0,27625195;-0,199311239;-0,030306129;-0,068517843;-0,13023221;-0,137418714
2,219;-0,276315645;-0,199273959;-0,030286606;-0,068439639;-0,130440055;-0,136850091
2,235;-0,276372981;-0,199236576;-0,030256834;-0,06838687;-0,13033216;-0,136570593
2,252;-0,276424704;-0,199194321;-0,030217547;-0,068348979;-0,129514986;-0,136477981
2,269;-0,276470598;-0,199136411;-0,03017046;-0,06824935;-0,128060841;-0,136464898
2,285;-0,276511021;-0,199052562;-0,030117601;-0,067938814;-0,126656422;-0,136477487
2,302;-0,276546732;-0,198957579;-0,030060883;-0,067331078;-0,125713813;-0,136525364
2,319;-0,276578716;-0,198931296;-0,030001838;-0,066609538;-0,124765185;-0,13666816
2,335;-0,276608241;-0,199128803;-0,029941549;-0,066117727;-0,123385507;-0,1369801
2,352;-0,276636609;-0,199650751;-0,029880663;-0,065990037;-0,122041538;-0,137475699
2,369;-0,276664712;-0,200338611;-0,029819344;-0,066086926;-0,121333911;-0,138040471
2,385;-0,276692868;-0,2008608;-0,029757137;-0,066233292;-0,121030947;-0,138492059
2,402;-0,276720942;-0,201058562;-0,029692924;-0,066349772;-0,120497013;-0,13873992
2,419;-0,276748639;-0,201032057;-0,029625122;-0,066428509;-0,119678651;-0,138844109
2,435;-0,276775968;-0,200935862;-0,029552244;-0,066485702;-0,119059552;-0,138947092
2,452;-0,276803497;-0,200849657;-0,029473828;-0,066535553;-0,118865353;-0,139195808
