Time (sec);Toe;MTP;Heel;Ankle;knee;Hip
2202;-1,10135367;-1,116951704;-1,070777772;-1,013709058;-0,563399673;-0,11127339
2219;-1,101081723;-1,116309415;-1,070800823;-1,013648203;-0,563389513;-0,111217073
2235;-1,100459433;-1,115440436;-1,070788879;-1,013554675;-0,563394317;-0,111165782
2252;-1,099683053;-1,114901866;-1,07076545;-1,013492474;-0,563401793;-0,111130255
2269;-1,0991521;-1,114873296;-1,07074485;-1,013457865;-0,563406176;-0,111109839
2285;-1,099013811;-1,115096081;-1,070733947;-1,013434692;-0,56340942;-0,111101335
2302;-1,099093733;-1,115307559;-1,070734492;-1,01341483;-0,563414287;-0,111102225
2319;-1,099200315;-1,11524849;-1,070745298;-1,013396798;-0,563414154;-0,111110272
2335;-1,09926877;-1,114680682;-1,070763891;-1,013380601;-0,563392052;-0,111122212
2352;-1,099308251;-1,113824512;-1,070787575;-1,013365823;-0,563334438;-0,11113394
2369;-1,099339459;-1,113261418;-1,070814007;-1,013351884;-0,56325819;-0,111142639
2385;-1,099371565;-1,113190014;-1,070841413;-1,013338358;-0,56324637;-0,111148491
2402;-1,099404058;-1,113333263;-1,070868574;-1,013324875;-0,563454901;-0,111153903
2419;-1,099436073;-1,113456154;-1,070894698;-1,013310913;-0,563983745;-0,111161472
2435;-1,099475894;-1,113530214;-1,070919255;-1,013296128;-0,564674693;-0,111172683
2452;-1,099542719;-1,113591586;-1,070941873;-1,013280934;-0,56519806;-0,11118764
2469;-1,099642852;-1,113659124;-1,070962342;-1,01326623;-0,565397377;-0,111205645
2485;-1,099707707;-1,113732341;-1,070980689;-1,013252425;-0,565374102;-0,11122618
2502;-1,099546599;-1,113806967;-1,070997205;-1,013239096;-0,565282447;-0,11124897
2519;-1,099001665;-1,113881732;-1,071012356;-1,013225592;-0,565200678;-0,111273001
2536;-1,098251529;-1,113957521;-1,071026646;-1,013211672;-0,565142831;-0,111296355
2552;-1,097714122;-1,114034967;-1,071040535;-1,013197555;-0,565099797;-0,111317484
2569;-1,097567727;-1,114113855;-1,071054393;-1,013183579;-0,565064241;-0,111337752
2586;-1,097653587;-1,114193863;-1,07106847;-1,013169895;-0,565035544;-0,11136617
2602;-1,0977796;-1,114274958;-1,071082891;-1,013156478;-0,565014301;-0,111423966
2619;-1,097875559;-1,114357193;-1,071097676;-1,013143287;-0,564997988;-0,111540853
2636;-1,097946355;-1,114440382;-1,071112765;-1,013130313;-0,564982946;-0,111731863
2652;-1,098010581;-1,114524046;-1,071128035;-1,013117536;-0,564967549;-0,111946281
2669;-1,098077321;-1,114607901;-1,071143349;-1,013104907;-0,56495189;-0,112069168
2686;-1,09814717;-1,114692347;-1,071158586;-1,013092363;-0,564936217;-0,112071668
2702;-1,09821818;-1,114778232;-1,071173665;-1,013079833;-0,56492064;-0,112104532
2719;-1,098289854;-1,114866272;-1,071188537;-1,013067273;-0,564905889;-0,112310167
2736;-1,098364518;-1,114956931;-1,071203158;-1,013054738;-0,564893923;-0,112627641
2752;-1,098445578;-1,115050349;-1,0712175;-1,013042354;-0,564887621;-0,112928894
2769;-1,098533969;-1,115145913;-1,071231582;-1,013030135;-0,564889723;-0,113246058
2786;-1,098626901;-1,115242504;-1,071245493;-1,013017881;-0,564901804;-0,113654873
