Time (ms);Toe;MTP;Heel;Ankle;Knee;Hip
12179;0,547069618949547;0,45667662418932;0,312351562762709;0,348476740162639;0,456794049152879;0,469193509682919
12196;0,547102365116358;0,456736782535742;0,312403481556611;0,348537135774004;0,461820369335402;0,482118083346201
12212;0,547075073623283;0,456828518335906;0,312554318060655;0,348768037078623;0,466572083444384;0,495206160098482
12229;0,547079003803502;0,456867757115051;0,312925984143782;0,349320455745877;0,471296498335502;0,508417340301253
12246;0,547128379218251;0,456662791691007;0,313563424907022;0,350031461253017;0,476383813672637;0,521828767828205
12262;0,547188006419773;0,456070123332864;0,314276150516738;0,350612381938569;0,48202338712884;0,535546442777899
12279;0,547216316948692;0,455275569451247;0,314755318952125;0,351056904173125;0,488224552322503;0,54956670567173
12296;0,547202454654683;0,454743346353899;0,314902511821324;0,351643718763643;0,495073313071745;0,563784577392504
12312;0,547178894287259;0,454812632500395;0,314913195307013;0,352580965773681;0,502896907405346;0,578140466750778
12329;0,547237703426718;0,455451552616498;0,315088239633957;0,353917832903954;0,512075551492497;0,592701639220653
12346;0,547538800813065;0,456281425299775;0,315624459796482;0,355669596252561;0,522767538231971;0,607593619373477
12362;0,548174336887128;0,456855254017703;0,316487170805849;0,357804420234921;0,534941140066313;0,622886558079756
12379;0,548946787003131;0,457076370008766;0,31750494230699;0,360264034923151;0,548472548239543;0,63860962870618
12396;0,549486686670703;0,457259196412508;0,318641991706397;0,363054446609031;0,563176415387983;0,654822229728637
12412;0,549667135417277;0,457764709088524;0,320174257145274;0,366268031318455;0,578961131655551;0,671578084578856
12429;0,549708174102194;0,458698246364506;0,32258156270951;0,370229854374408;0,596077612722486;0,688869143167905
12446;0,549931253303103;0,460002834351534;0,326254387649136;0,375560916837913;0,615210054563307;0,706636896070403
12462;0,550496240536268;0,461696184332622;0,331440172933539;0,38290037994924;0,637182276739715;0,724836564640328
12479;0,551258022889577;0,463927325706041;0,338482919483874;0,392798129521643;0,662552107427484;0,74345778819444
12496;0,551991971413682;0,467006032559246;0,347965496131401;0,405762428136155;0,69142189332954;0,762431889792733
